Keyword Stats 2026-03-15 at 20_54_13
"March 1, 2025 - February 28, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
로베르타 디 까메리노 방향제	KRW	50	0%	0%	High	100	157	729																	
로베르타 방향제	KRW	50	0%	0%	High	100	198	693																	
로즈마리 방향제	KRW	50	0%	0%	High	67	173	1634																	
록시땅 방향제	KRW	50	0%	0%	High	100																			
룸 미러 방향제	KRW	50	0%	0%	Low	26																			
리틀 조 방향제	KRW	50	0%	0%	Low	24																			
리필 방향제	KRW	50	0%	0%	High	94																			
마 프라 방향제	KRW	50	0%	0%	High	100																			
메이 튼 방향제	KRW	50	0%	0%	High	88																			
메탈 주차 번호판	KRW	50	900%	900%	Low	9																			
멤브레인 방향제	KRW	50	900%	900%	Low	1																			
명품 디퓨저	KRW	50	0%	0%	High	100	515	1330																	
명품 방향제	KRW	50	0%	0%	High	97	564	1314																	
명품 차량 방향제	KRW	50	0%	0%	High	95	562	1060																	
모과 방향제	KRW	500	-90%	0%	Low	11																			
모니터 걸이 방향제	KRW	50	0%	0%	High	81	92	791																	
미스터 앤 미세스 니키	KRW	50	0%	0%	High	100																			
미스터 앤 미세스 방향제	KRW	50	900%	900%	High	100	152	645																	
바흐 가 르트 방향제	KRW	50	0%	0%	High	73	238	816																	
방 방향제	KRW	50	0%	0%	High	97	552	1593																	
방향제 가격	KRW	50	0%	0%	High	67	124	789																	
방향제 리필	KRW	50	0%	0%	High	91	266	2297																	
방향제 스틱	KRW	50	0%	0%	High	100																			
방향제 스프레이	KRW	50	0%	0%	High	94																			
방향제 유해성	KRW	50	0%	0%	Low	0																			
방향제 자동 분사	KRW	50	0%	0%	High	96																			
방향제 종류	KRW	50	0%	0%	High	71	134	675																	
방향제 차량	KRW	50	0%	0%	High	100																			
방향제 탈취제	KRW	50	0%	0%	High	76																			
방향제 화장실	KRW	50	0%	0%	High	94																			
방향제 회사	KRW	50	0%	0%	Low	10																			
백악관 방향제	KRW	50	0%	0%	Medium	60	290	592																	
베어브릭 방향제	KRW	50	900%	900%	Low	33																			
베이킹 소다 방향제	KRW	50	0%	0%	High	72																			
벤 볼릭 방향제	KRW	50	900%	900%	High	96	407	1087																	
벤츠 방향제	KRW	50	0%	0%	High	100	459	852																	
벤츠 차량용 방향제	KRW	50	0%	0%	High	100	546	1353																	
변기 방향제	KRW	50	900%	900%	Medium	54																			
복숭아 방향제	KRW	50	0%	0%	Medium	63																			
부케 가르니 옷장 방향제	KRW	50	0%	0%	High	80																			
분사형 방향제	KRW	50	0%	0%	Medium	51	1060	2154																	
불독 차량 방향제	KRW	50	0%	0%	High	100																			
불독 차량용 방향제	KRW	50	0%	0%	High	88																			
불스 원 선 바이저	KRW	50	0%	0%	High	100	437	755																	
불스 원 선 바이저 방향제	KRW	50	0%	0%	High	100	619	1342																	
불스 원 차량용 방향제	KRW	50	0%	0%	High	100	188	770																	
불스 원샷 방향제	KRW	50	0%	0%	High	84	93	676																	
블랙 팟 방향제	KRW	50	0%	0%	Unknown																				
비누 방향제	KRW	50	0%	0%	Low	31																			
비드 방향제	KRW	50	0%	0%	Medium	47																			
비즈 방향제	KRW	50	0%	0%	Medium	56																			
뿌리 는 방향제	KRW	50	0%	0%	High	85	142	1086																	
산도깨비 차량용 방향제	KRW	50	0%	0%	High	88																			
새차 냄새	KRW	50	900%	900%	Low	7																			
새차 냄새 방향제	KRW	50	0%	0%	High	85																			
새차 냄새 빼는 법	KRW	50	0%	0%	Low	5																			
새차 냄새 제거 방법	KRW	50	0%	0%	Low	29																			
새차 방향제	KRW	50	0%	0%	High	83																			
새차 증후군 없애는 법	KRW	50	0%	0%	Low	29																			
생귄 방향제	KRW	50	0%	0%	High	82	120	1068																	
샤넬 방향제	KRW	50	0%	0%	Medium	64																			
샤넬 차량용 방향제	KRW	50	0%	0%	High	83	533	999																	
샤오 미 방향제 리필	KRW	50	0%	0%	Unknown																				
석고 디퓨저	KRW	50	0%	0%	High	91	488	1037																	
석고 방향제 리필	KRW	50	0%	0%	High	89	281	789																	
석고 방향제 향수	KRW	50	0%	0%	High	77																			
석고 향수	KRW	50	0%	0%	Low	10																			
선 바이저 방향제	KRW	50	0%	0%	High	95	135	1022																	
섬유 유연제 방향제	KRW	50	0%	0%	Medium	56																			
소변기 방향제	KRW	50	0%	0%	High	100	143	1133																	
송풍구 방향제	KRW	50	0%	0%	High	88	410	847																	
숯 방향제	KRW	50	0%	0%	Low	29	464	2362																	
스너글 방향제	KRW	50	900%	900%	High	86	60	624																	
스타 벅스 방향제	KRW	50	0%	0%	Low	0																			
스트리퍼 센트	KRW	50	0%	0%	Low	0																			
스틱 방향제	KRW	50	0%	0%	High	82																			
스프레이 방향제	KRW	50	0%	0%	High	87																			
신발 방향제	KRW	50	0%	0%	High	97	377	1170																	
신발장 방향제	KRW	50	0%	0%	High	70																			
신차 냄새 제거	KRW	50	0%	0%	Medium	60	284	994																	
실리콘 방향제	KRW	50	0%	0%	Medium	33																			
쑥 방향제	KRW	50	-100%	-100%	Unknown																				
쓰리 나인 방향제	KRW	50	0%	0%	High	100	59	1632																	
아로마 방향제	KRW	50	0%	0%	High	73	422	964																	
아르망 디 방향제	KRW	50	0%	0%	Medium	57																			
아미 티 번호판	KRW	50	0%	0%	High	86																			
아반떼 cn7 방향제	KRW	50	0%	0%	Medium	50																			
아우디 a6 방향제	KRW	50	-100%	-100%	Unknown																				
아우디 방향제	KRW	50	0%	0%	High	82																			
아우디 순정 방향제	KRW	50	0%	0%	Medium	52																			
아우라 방향제	KRW	50	0%	0%	Medium	38																			
아이스팩 방향제	KRW	50	0%	0%	Low	2																			
아이언 맨 방향제	KRW	50	0%	0%	Low	17																			
아쿠아 디 파르마 방향제	KRW	500	0%	0%	High	80	115	708																	
안전한 방향제	KRW	50	0%	0%	High	89	734	1410																	
액체 방향제	KRW	50	0%	0%	Medium	33																			
양키 캔들 가습기 살균제	KRW	50	-100%	0%	Unknown																				
양키 캔들 미드 썸머 나이트 차량용	KRW	50	0%	0%	High	98																			
양키 캔들 방향제	KRW	50	0%	0%	High	77																			
양키 캔들 벤트 스틱	KRW	50	0%	0%	Medium	52																			
양키 캔들 살균제	KRW	50	0%	0%	Unknown																				
양키 캔들 스피어스	KRW	50	0%	0%	High	79																			
양키 캔들 자동차 방향제	KRW	50	0%	0%	High	100																			
양키 캔들 차량	KRW	50	0%	0%	High	67																			
양키 캔들 차량 방향제	KRW	50	0%	0%	High	75																			
양키 캔들 차량용 디퓨저	KRW	50	0%	0%	High	100																			
양키 캔들 차량용 방향제 발암 물질	KRW	50	-100%	-100%	Unknown																				
양키 캔들 차밍 센츠	KRW	50	∞	0%	Low	29																			
양키 캔들 카 벤트 스틱	KRW	50	∞	∞	Low	0																			
양키 캔들 카자	KRW	50	0%	0%	High	83																			
양키 캔들 카자 얼티 메이트	KRW	50	0%	0%	High	86																			
업소용 방향제	KRW	50	0%	0%	High	67																			
에어 디 방향제	KRW	50	0%	0%	High	80																			
에어 디 차량용 방향제	KRW	50	0%	0%	High	90																			
에어 윅 방향제	KRW	50	0%	0%	High	100																			
에어컨 방향제	KRW	50	0%	0%	Medium	41																			
에어컨 필터 방향제	KRW	50	0%	0%	High	98	109	856																	
예쁜 방향제	KRW	50	0%	0%	High	75																			
오 센트 방향제	KRW	50	0%	0%	Medium	47	93	1171																	
오 센트 차량 방향제	KRW	50	0%	0%	High	100																			
오래 가는 방향제	KRW	50	0%	0%	High	100	561	1494																	
오래 가는 차량용 방향제	KRW	50	0%	0%	High	100	422	1126																	
올리브 영 차량용 방향제	KRW	50	-90%	0%	High	88	165	884																	
옷 방향제	KRW	50	0%	0%	High	84	385	1948																	
왁스 방향제	KRW	50	0%	0%	High	69																			
욕실 방향제	KRW	50	0%	0%	High	100	570	1831																	
용자 몰 디퓨저	KRW	50	0%	-100%	Unknown																				
원두 방향제	KRW	50	0%	0%	High	85																			
원두 커피 방향제	KRW	50	0%	0%	High	93																			
원룸 방향제	KRW	50	0%	0%	High	77	668	1792																	
유칼 릭스 방향제	KRW	50	900%	900%	Low	17																			
유한 킴벌리 방향제	KRW	50	0%	0%	High	100																			
이마트 방향제	KRW	50	0%	0%	Medium	61																			
이솝 차량용 방향제	KRW	50	0%	0%	High	92	596	1908																	
이케아 방향제	KRW	50	0%	0%	Medium	56																			
이케아 포푸리	KRW	50	0%	0%	High	68																			
인 비저블 방향제	KRW	50	0%	-100%	Unknown																				
인테리어 디퓨저	KRW	50	0%	0%	Medium	65	459	1323																	
인형 방향제	KRW	50	0%	0%	High	91																			
자동 분사 방향제	KRW	50	900%	900%	High	100	233	2226																	
자동차 번호 알림판	KRW	50	∞	0%	High	81																			
자동차 용 방향제	KRW	50	0%	∞	Medium	33	287	690																	
자동차 주차 번호판	KRW	50	0%	0%	High	82																			
자동차 천연 방향제	KRW	50	0%	0%	High	100																			
자연 방향제	KRW	50	0%	0%	High	100																			
자취방 방향제	KRW	50	0%	0%	High	100	619	1780																	
전기 방향제	KRW	50	0%	0%	High	100	418	907																	
제네시스 g80 방향제	KRW	50	0%	0%	High	100																			
제네시스 방향제	KRW	50	0%	0%	High	84	508	1323																	
젤 방향제	KRW	50	0%	0%	High	71																			
젤리 방향제	KRW	50	0%	0%	Medium	51																			
젬마 석고	KRW	50	0%	0%	Medium	48																			
조 말론 자동차 방향제	KRW	50	0%	0%	High	91																			
조 말론 차 방향제	KRW	50	0%	0%	High	100	304	1030																	
조 말론 차량 디퓨저	KRW	50	0%	0%	High	100	571	1041																	
주차 번호 알림판	KRW	50	0%	0%	High	100																			
주차 알림판	KRW	500	0%	900%	Low	33	126	506																	
주차 전화 번호판	KRW	50	0%	0%	Medium	58	119	388																	
지방 이 석고 방향제	KRW	50	0%	0%	Low	0																			
진로 디퓨저	KRW	50	0%	0%	Medium	47																			
진로 방향제	KRW	50	0%	0%	Medium	43																			
진로 소주 방향제	KRW	50	0%	0%	Unknown																				
집안 방향제	KRW	50	0%	0%	High	100	672	2586																	
짱구 방향제	KRW	50	0%	0%	High	100	689	2706																	
차 디퓨저	KRW	50	0%	0%	High	100	676	1747																	
차량 방향제 딥 디크	KRW	50	0%	0%	Low	32																			
차량 석고 방향제	KRW	50	0%	0%	Medium	41	624	1175																	
차량 주차 번호판	KRW	50	0%	0%	High	73																			
차량용 고급 방향제	KRW	50	0%	0%	High	100																			
차량용 방향제 더쿠	KRW	50	0%	0%	High	94																			
차량용 방향제 불독	KRW	50	0%	0%	High	100																			
차량용 석고 방향제	KRW	50	900%	900%	High	68	79	1120																	
차량용 종이 방향제	KRW	50	0%	0%	High	85	476	1556																	
차량용 주차 번호판	KRW	50	0%	0%	High	75																			
차량용 천연 방향제	KRW	50	0%	0%	High	100	591	1272																	
차량용 피톤치드 방향제	KRW	50	0%	∞	High	100																			
청개구리 방향제	KRW	50	0%	0%	High	100	277	673																	
청소기 방향제	KRW	50	0%	0%	Medium	46																			
체사레 방향제	KRW	50	-100%	-100%	Unknown																				
춘식 이 방향제	KRW	50	0%	0%	High	82																			
친환경 방향제	KRW	50	0%	0%	High	82	533	1253																	
카네이션 석고 방향제	KRW	50	∞	0%	Low	3																			
카카오 모니터 걸이 방향제	KRW	50	-100%	-100%	Unknown																				
카카오 방향제	KRW	50	0%	0%	High	88	123	418																	
카카오 방향제 리필	KRW	50	0%	0%	High	100																			
카카오 차량 방향제	KRW	50	0%	0%	High	74																			
카카오 차량용 방향제	KRW	50	0%	0%	High	100																			
카카오 프렌즈 방향제	KRW	50	0%	0%	High	92																			
카카오 프렌즈 방향제 리필	KRW	50	0%	0%	High	100																			
카카오 프렌즈 차량용 방향제	KRW	50	0%	0%	High	96																			
카페 방향제	KRW	50	0%	0%	High	71																			
캐릭터 방향제	KRW	50	0%	0%	High	83																			
캐릭터 주차 번호판	KRW	50	0%	0%	Low	22																			
캐릭터 차량용 방향제	KRW	50	0%	0%	Medium	62	62	834																	
커피 가루 방향제	KRW	50	0%	0%	Low	26																			
커피 방향제	KRW	500	0%	0%	High	68	144	852																	
커피 원두 방향제	KRW	50	0%	0%	Medium	36																			
커피 콩 방향제	KRW	50	0%	0%	Medium	37																			
케미컬 가이 스트리퍼 센트	KRW	50	0%	∞	Medium	43																			
코코 도르 방향제	KRW	50	0%	0%	High	99	144	1041																	
코코넛 방향제	KRW	50	0%	0%	High	100																			
쿤달 차량용 방향제	KRW	50	0%	0%	High	100	109	964																	
클린 코튼 디퓨저	KRW	50	0%	0%	High	100																			
탈취 방향제	KRW	50	0%	0%	High	100	767	2171																	
탈취제 방향제	KRW	50	0%	0%	High	86	925	2696																	
턴테이블 방향제	KRW	50	0%	0%	High	75																			
테슬라 방향제	KRW	50	0%	0%	High	100	302	1284																	
페브리즈 방향제	KRW	50	0%	0%	High	98	275	1011																	
페브리즈 차량용 방향제	KRW	50	0%	0%	High	99	136	817																	
페브리즈 차량용 방향제 리필	KRW	50	0%	0%	Low	0																			
페브리즈 화장실 방향제	KRW	50	0%	0%	Medium	60	78	1019																	
펭수 방향제	KRW	50	0%	0%	Low	7																			
펭수 차량용 방향제	KRW	50	0%	0%	High	100																			
편백 방향제	KRW	50	0%	0%	High	100	521	1398																	
포포 베 방향제	KRW	50	0%	0%	Low	0																			
포포 베 차량용 방향제	KRW	50	0%	0%	High	83																			
포푸리 방향제	KRW	50	0%	0%	Medium	48	451	1575																	
퓨마 방향제	KRW	50	0%	0%	Medium	62																			
프렌치 불독 방향제	KRW	50	∞	0%	Low	0																			
프로펠러 방향제	KRW	50	0%	0%	High	76	85	1192																	
플래트 방향제	KRW	50	0%	0%	Medium	56	403	983																	
피규어 방향제	KRW	50	0%	0%	High	81																			
피톤치드 방향제	KRW	50	0%	0%	High	100	326	1391																	
하이 센트 디퓨저	KRW	50	∞	0%	High	100																			
하이 센트 방향제	KRW	50	0%	0%	High	91																			
한방 방향제	KRW	50	0%	0%	High	100																			
한복 방향제	KRW	50	0%	0%	Low	11																			
한약 방향제	KRW	50	0%	0%	Low	31																			
향수 로 차량 방향제	KRW	50	0%	0%	Unknown																				
향수 방향제	KRW	50	0%	0%	Medium	66	75	1337																	
허브 방향제	KRW	50	0%	0%	High	71																			
헤이즐넛 방향제	KRW	50	0%	0%	High	100																			
헬로 키티 방향제	KRW	50	0%	0%	High	79																			
헬리콥터 방향제	KRW	50	0%	0%	High	95																			
호텔 방향제	KRW	50	0%	0%	High	100	581	5107																	
화장실 자동 방향제	KRW	50	0%	0%	Medium	64	386	1908																	
화장실 탈취제 방향제	KRW	50	0%	0%	Medium	64																			
회전 번호판	KRW	50	0%	0%	Low	7																			
차량 방향제 냄새 제거	KRW		 --	 --	Unknown																				
차 냄세 없애는 법	KRW		 --	 --	Unknown																				
대시 보드 방향제	KRW		 --	 --	Unknown																				
