Keyword Stats 2026-03-15 at 21_08_07
"March 1, 2025 - February 28, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
데이터 분석 대시 보드	KRW	50	-90%	0%	Low	13	732	1648																	
자동차 용품점	KRW	500	0%	0%	Medium	66	194	1155																	
자동차 실내 용품	KRW	50	0%	0%	High	82	154	1180																	
자동차 전화 번호 알림판	KRW	500	0%	0%	High	87	82	447																	
bi 대시 보드	KRW	50	0%	-90%	Low	9	861	1700																	
집 방향제	KRW	500	900%	0%	Medium	57	587	2452																	
고급 디퓨저	KRW	500	0%	0%	High	100	534	1538																	
세일즈 포스 대시 보드	KRW	50	0%	0%	Low	11	1966	9149																	
불스 원 방향제	KRW	50	0%	0%	High	100	236	892																	
tableau 대시 보드	KRW	50	0%	0%	Low	2																			
차량용 방향제 리필	KRW	50	0%	0%	High	93	141	1391																	
방향제 디퓨저	KRW	500	0%	0%	Medium	39	512	1052																	
젠 데스크 대시 보드	KRW	50	0%	0%	Low	0																			
자동차 디퓨저	KRW	500	0%	0%	Medium	54	655	1829																	
실내 디퓨저	KRW	500	0%	0%	Low	30	537	1880																	
노션 대시 보드	KRW	500	0%	0%	Low	1																			
리틀 트리 방향제	KRW	500	0%	0%	High	98	145	1146																	
자동차 튜닝 용품	KRW	50	0%	0%	High	97	245	1038																	
자동 방향제	KRW	50	0%	-90%	High	100	428	2230																	
adjust 대시 보드	KRW	50	-100%	-100%	Unknown																				
bix5 가격	KRW	50	0%	0%	Medium	41	1029	2036																	
bmw 방향제	KRW	50	0%	0%	Medium	56																			
bmw 순정 방향제	KRW	50	0%	0%	High	84																			
bmw 자동차 용품	KRW	50	0%	0%	Medium	45																			
bmw 차량 용품	KRW	50	0%	0%	Medium	59																			
ev6 차량 용품	KRW	50	0%	0%	Medium	55																			
eva 방향제	KRW	50	-100%	-100%	Unknown																				
g80 차량 용품	KRW	50	0%	∞	High	88																			
g90 방향제	KRW	50	0%	0%	High	74																			
gv70 방향제	KRW	50	0%	0%	High	80																			
gv80 방향제	KRW	50	0%	0%	Low	27																			
gv80 차량 용품	KRW	50	0%	0%	High	100	394	1454																	
k5 차량 용품	KRW	50	0%	0%	High	98	86	763																	
k8 차량 용품	KRW	50	0%	0%	High	100	66	843																	
led 방향제	KRW	50	0%	0%	High	68																			
led 주차 번호판	KRW	50	0%	0%	Low	14																			
mstr 대시 보드	KRW	50	0%	-90%	Low	2																			
notion 대시 보드	KRW	50	0%	0%	Low	0																			
power bi 실시간 대시 보드	KRW	50	0%	0%	Low	5																			
qm6 악세사리	KRW	50	0%	0%	Low	27	63	849																	
qm6 차량 용품	KRW	50	-100%	-100%	Unknown																				
redash 대시 보드	KRW	50	0%	0%	Low	5																			
roberta di camerino 방향제	KRW	50	0%	0%	High	100																			
sm6 악세사리	KRW	50	0%	0%	Medium	47																			
sm7 악세사리	KRW	50	0%	0%	Unknown																				
superset 대시 보드	KRW	50	0%	0%	Low	5																			
xm3 악세사리	KRW	50	0%	0%	Medium	53																			
xm3 액세서리	KRW	50	∞	0%	Low	6																			
xm3 차량 용품	KRW	50	0%	0%	High	83																			
가성 비 방향제	KRW	50	0%	0%	High	83	581	1002																	
가성 비 차량 용품	KRW	50	0%	0%	Low	7																			
가정용 방향제	KRW	50	0%	0%	High	100	400	1836																	
강아지 방향제	KRW	50	-90%	0%	High	94																			
개구리 알 방향제	KRW	50	0%	0%	Low	22																			
거실 방향제	KRW	50	0%	0%	High	83	421	1078																	
걸이 형 방향제	KRW	50	0%	0%	High	100																			
겨울 자동차 관리	KRW	50	-90%	0%	Low	14																			
겨울 차량 관리	KRW	500	-90%	-90%	Low	1																			
겨울 차량 용품	KRW	50	0%	0%	High	73																			
겨울철 차량	KRW	50	0%	0%	Low	0																			
계피 방향제	KRW	50	0%	0%	Medium	45																			
고급 방향제	KRW	50	0%	0%	High	92	545	1375																	
고급 차량 방향제	KRW	50	0%	0%	Medium	47	609	2675																	
고양이 방향제	KRW	50	900%	900%	Medium	51																			
고체 디퓨저	KRW	500	900%	900%	High	100	554	1544																	
고체 방향제	KRW	500	0%	0%	High	100	519	2315																	
곰돌이 방향제	KRW	50	900%	900%	High	69																			
공기 방향제	KRW	50	0%	0%	High	100																			
과일 방향제	KRW	50	0%	0%	Low	21																			
교보 문고 방향제	KRW	500	0%	0%	High	72	101	925																	
교보 문고 차량용 방향제	KRW	500	0%	0%	High	91	118	991																	
구슬 방향제	KRW	50	0%	0%	Low	17																			
그라스 방향제	KRW	50	0%	0%	High	84																			
그랑 핸드 차량용 방향제	KRW	500	0%	900%	High	75																			
그레이드 방향제	KRW	50	0%	0%	Low	22																			
기아 자동차 악세사리	KRW	50	0%	0%	Low	25																			
기아 차량 용품	KRW	50	0%	0%	Low	5																			
꼭 필요한 자동차 용품	KRW	50	0%	0%	Unknown																				
꽃 방향제	KRW	50	0%	0%	High	69																			
남자 방 방향제	KRW	50	0%	0%	Medium	59	765	1866																	
남자 방향제	KRW	50	0%	0%	High	74	564	1790																	
냉장고 방향제	KRW	50	0%	0%	High	78	312	1140																	
논슬립 주차 번호판	KRW	50	0%	0%	High	80	148	473																	
뉴서울 자동차 용품	KRW	50	0%	0%	Low	20																			
니로 차량 용품	KRW	50	-100%	-100%	Unknown																				
니키 방향제	KRW	50	0%	0%	Medium	67	141	899																	
다우니 방향제	KRW	50	0%	0%	High	98																			
다이 소 구슬 방향제	KRW	50	0%	0%	Low	1																			
다이 소 방향제	KRW	500	0%	0%	Medium	41	54	873																	
다이 소 석고 방향제	KRW	50	0%	0%	Low	16																			
다이 소 자동차 용품	KRW	500	900%	900%	Medium	40	56	959																	
다이 소 차량	KRW	50	0%	0%	Low	2																			
다이 소 차량 용품	KRW	500	0%	0%	Medium	38	47	556																	
다이 소 화장실 방향제	KRW	500	0%	0%	Medium	53																			
달달한 방향제	KRW	50	∞	0%	Medium	43																			
대시 보드 시각화	KRW	50	0%	0%	Low	6																			
대시 보드 종류	KRW	50	0%	0%	Low	2																			
대용량 방향제	KRW	50	0%	0%	High	82																			
더 뉴셀 토스 차량 용품	KRW	50	0%	0%	High	86																			
더뉴 그랜저 차량 용품	KRW	50	0%	0%	Low	0																			
데이터 메이커 대시 보드	KRW	50	-100%	-100%	Unknown																				
도 슈아 방향제	KRW	50	0%	0%	Medium	43																			
도그 독 방향제	KRW	50	0%	0%	High	100																			
도베르만 방향제	KRW	50	0%	0%	Medium	37																			
동절기 차량 관리	KRW	50	0%	0%	Low	0																			
드라이 플라워 석고 방향제	KRW	50	0%	0%	Low	10																			
디 프로젝트 디불	KRW	50	0%	0%	Low	31																			
디 프로젝트 리필	KRW	50	0%	0%	High	76																			
디 프로젝트 방향제 리필	KRW	50	0%	0%	High	100																			
디불 방향제	KRW	50	0%	0%	Low	21																			
디시 새차	KRW	50	0%	∞	Low	0																			
디즈니 방향제	KRW	50	0%	0%	High	100																			
디지털 대시 보드	KRW	50	0%	0%	Low	10	590	1560																	
디캣 방향제	KRW	50	0%	0%	High	77	246	1389																	
디캣 차량용 방향제	KRW	50	0%	0%	High	100																			
디퓨저 방향제	KRW	50	0%	0%	High	88	578	2002																	
디퓨저 자동차	KRW	50	0%	0%	Medium	66																			
딥 디크 석고 방향제	KRW	50	0%	0%	Low	0																			
딥 디크 자동차 방향제	KRW	50	0%	0%	High	100	198	1136																	
딥 디크 차량 방향제	KRW	50	0%	0%	High	73	162	1212																	
딥 디크 차량용 방향제 가격	KRW	50	0%	0%	High	97	144	805																	
딥 디크 차량용 방향제 리필	KRW	50	0%	0%	High	100	153	840																	
딥 디크 차량용 방향제 종류	KRW	50	0%	0%	High	77	271	757																	
딥 티크 방향제	KRW	50	900%	900%	Medium	62	312	1679																	
라벤더 방향제	KRW	50	0%	0%	High	98	140	1044																	
라이언 모니터 걸이 방향제	KRW	50	∞	0%	Medium	33																			
라이언 방향제	KRW	50	0%	0%	High	75																			
라이언 차량용 방향제	KRW	50	0%	0%	High	100																			
라피네 르 방향제	KRW	50	0%	0%	High	100																			
라피네 르 차량용 방향제	KRW	50	-100%	-100%	Unknown																				
레몬 껍질 방향제	KRW	50	0%	0%	Low	0																			
레몬 방향제	KRW	50	0%	0%	High	86																			
렉서스 용품	KRW	50	0%	0%	Medium	57																			
로베르타 디 까메리노 방향제	KRW	50	0%	0%	High	100	157	729																	
로베르타 방향제	KRW	50	0%	0%	High	100	198	693																	
로즈마리 방향제	KRW	50	0%	0%	High	67	173	1634																	
록시땅 방향제	KRW	50	0%	0%	High	100																			
롯데 마트 자동차 용품	KRW	50	0%	0%	Low	6																			
룸 미러 방향제	KRW	50	0%	0%	Low	26																			
르노 삼성 악세사리	KRW	50	0%	0%	Low	5																			
르노 클리오 악세사리	KRW	50	0%	-100%	Unknown																				
리틀 조 방향제	KRW	50	0%	0%	Low	24																			
리필 방향제	KRW	50	0%	0%	High	94																			
마 프라 방향제	KRW	50	0%	0%	High	100																			
메이 튼 방향제	KRW	50	0%	0%	High	88																			
메이 튼 차량 용품	KRW	50	0%	0%	High	67																			
메탈 주차 번호판	KRW	50	900%	900%	Low	9																			
멤브레인 방향제	KRW	50	900%	900%	Low	1																			
명품 디퓨저	KRW	50	0%	0%	High	100	515	1330																	
명품 방향제	KRW	50	0%	0%	High	97	564	1314																	
명품 차량 방향제	KRW	50	0%	0%	High	95	562	1060																	
모과 방향제	KRW	500	-90%	0%	Low	11																			
모니터 걸이 방향제	KRW	50	0%	0%	High	81	92	791																	
모닝 새차	KRW	50	0%	0%	Low	7																			
모닝 자동차 용품	KRW	50	0%	0%	High	100																			
모닝 차량 용품	KRW	50	0%	0%	High	83																			
물류 대시 보드	KRW	50	0%	0%	Low	29	1208	2665																	
미스터 앤 미세스 니키	KRW	50	0%	0%	High	100																			
미스터 앤 미세스 방향제	KRW	50	900%	900%	High	100	152	645																	
바보몰 자동차 용품	KRW	50	0%	0%	High	79																			
바흐 가 르트 방향제	KRW	50	0%	0%	High	73	238	816																	
방 방향제	KRW	50	0%	0%	High	97	552	1593																	
방향제 가격	KRW	50	0%	0%	High	67	124	789																	
방향제 리필	KRW	50	0%	0%	High	91	266	2297																	
방향제 스틱	KRW	50	0%	0%	High	100																			
방향제 스프레이	KRW	50	0%	0%	High	94																			
방향제 유해성	KRW	50	0%	0%	Low	0																			
방향제 자동 분사	KRW	50	0%	0%	High	96																			
방향제 종류	KRW	50	0%	0%	High	71	134	675																	
방향제 차량	KRW	50	0%	0%	High	100																			
방향제 탈취제	KRW	50	0%	0%	High	76																			
방향제 화장실	KRW	50	0%	0%	High	94																			
방향제 회사	KRW	50	0%	0%	Low	10																			
백악관 방향제	KRW	50	0%	0%	Medium	60	290	592																	
베뉴 차량 용품	KRW	50	0%	0%	High	74																			
베어브릭 방향제	KRW	50	900%	900%	Low	33																			
베이킹 소다 방향제	KRW	50	0%	0%	High	72																			
벤 볼릭 방향제	KRW	50	900%	900%	High	96	407	1087																	
벤츠 방향제	KRW	50	0%	0%	High	100	459	852																	
벤츠 차량 용품	KRW	50	0%	0%	High	98	322	1679																	
벤츠 차량용 방향제	KRW	50	0%	0%	High	100	546	1353																	
변기 방향제	KRW	50	900%	900%	Medium	54																			
복숭아 방향제	KRW	50	0%	0%	Medium	63																			
봄철 차량 관리	KRW	50	0%	0%	Low	0																			
부케 가르니 옷장 방향제	KRW	50	0%	0%	High	80																			
분사형 방향제	KRW	50	0%	0%	Medium	51	1060	2154																	
분석 대시 보드	KRW	50	0%	0%	Low	8																			
불독 차량 방향제	KRW	50	0%	0%	High	100																			
불독 차량용 방향제	KRW	50	0%	0%	High	88																			
불스 원 선 바이저	KRW	50	0%	0%	High	100	437	755																	
불스 원 선 바이저 방향제	KRW	50	0%	0%	High	100	619	1342																	
불스 원 차량용 방향제	KRW	50	0%	0%	High	100	188	770																	
불스 원샷 방향제	KRW	50	0%	0%	High	84	93	676																	
블랙 팟 방향제	KRW	50	0%	0%	Unknown																				
비누 방향제	KRW	50	0%	0%	Low	31																			
비드 방향제	KRW	50	0%	0%	Medium	47																			
비즈 방향제	KRW	50	0%	0%	Medium	56																			
비즈니스 대시 보드	KRW	50	0%	0%	Low	20	1006	4884																	
빅 데이터 대시 보드	KRW	50	0%	0%	Low	1																			
뿌리 는 방향제	KRW	50	0%	0%	High	85	142	1086																	
산도깨비 차량용 방향제	KRW	50	0%	0%	High	88																			
새차 방향제	KRW	50	0%	0%	High	83																			
생귄 방향제	KRW	50	0%	0%	High	82	120	1068																	
샤넬 방향제	KRW	50	0%	0%	Medium	64																			
샤넬 차량용 방향제	KRW	50	0%	0%	High	83	533	999																	
샤오 미 방향제 리필	KRW	50	0%	0%	Unknown																				
석고 디퓨저	KRW	50	0%	0%	High	91	488	1037																	
석고 방향제 리필	KRW	50	0%	0%	High	89	281	789																	
석고 방향제 향수	KRW	50	0%	0%	High	77																			
석고 향수	KRW	50	0%	0%	Low	10																			
선 바이저 방향제	KRW	50	0%	0%	High	95	135	1022																	
선물 차	KRW	50	0%	0%	Medium	33																			
선물용 차	KRW	50	0%	0%	High	98	517	2234																	
섬유 유연제 방향제	KRW	50	0%	0%	Medium	56																			
셀 토스 차량 용품	KRW	50	0%	0%	High	97	92	778																	
소변기 방향제	KRW	50	0%	0%	High	100	143	1133																	
송풍구 방향제	KRW	50	0%	0%	High	88	410	847																	
숯 방향제	KRW	50	0%	0%	Low	29	464	2362																	
스너글 방향제	KRW	50	900%	900%	High	86	60	624																	
스타 렉스 차량 용품	KRW	50	-100%	-100%	Unknown																				
스타 벅스 방향제	KRW	50	0%	0%	Low	0																			
스트리퍼 센트	KRW	50	0%	0%	Low	0																			
스틱 방향제	KRW	50	0%	0%	High	82																			
스파크 차량 용품	KRW	50	0%	0%	Low	32																			
스포티지 nq5 차량 용품	KRW	50	0%	0%	High	83																			
스포티지 차량 용품	KRW	50	0%	0%	High	100	120	1432																	
스포티지 하이브리드 차량 용품	KRW	50	0%	∞	High	71																			
스프레이 방향제	KRW	50	0%	0%	High	87																			
시스템 대시 보드	KRW	50	0%	0%	Low	2																			
신 박한 자동차 용품	KRW	50	0%	0%	High	100																			
신 박한 차량 용품	KRW	50	0%	0%	High	100	346	958																	
신기한 자동차 용품	KRW	50	0%	0%	Low	29																			
신기한 차량 용품	KRW	50	0%	0%	Low	7																			
신발 방향제	KRW	50	0%	0%	High	97	377	1170																	
신발장 방향제	KRW	50	0%	0%	High	70																			
신차 새차	KRW	50	0%	0%	Low	2																			
신차 차량 용품	KRW	50	0%	0%	High	86																			
실리콘 방향제	KRW	50	0%	0%	Medium	33																			
실시간 대시 보드	KRW	50	0%	0%	Low	6	1181	2308																	
싼타페 꾸미기	KRW	50	0%	0%	Medium	36																			
싼타페 차량 용품	KRW	50	0%	0%	High	74																			
쌍용 자동차 용품	KRW	50	0%	0%	Low	0																			
쌍용 자동차 용품점	KRW	50	0%	-100%	Unknown																				
쏘렌토 mq4 차량 용품	KRW	50	0%	0%	High	100	150	839																	
쏘렌토 차량 용품	KRW	50	0%	0%	High	98	120	1571																	
쏘렌토 하이브리드 차량 용품	KRW	50	0%	0%	Medium	64																			
쑥 방향제	KRW	50	-100%	-100%	Unknown																				
쓰리 나인 방향제	KRW	50	0%	0%	High	100	59	1632																	
아로마 방향제	KRW	50	0%	0%	High	73	422	964																	
아르망 디 방향제	KRW	50	0%	0%	Medium	57																			
아미 티 번호판	KRW	50	0%	0%	High	86																			
아반떼 cn7 꾸미기	KRW	50	0%	0%	Low	26																			
아반떼 cn7 방향제	KRW	50	0%	0%	Medium	50																			
아반떼 cn7 차량 용품	KRW	50	0%	0%	High	72	163	2293																	
아반떼 md 꾸미기	KRW	50	0%	0%	Low	0																			
아반떼 차량 용품	KRW	50	0%	0%	High	85																			
아우디 a6 방향제	KRW	50	-100%	-100%	Unknown																				
아우디 방향제	KRW	50	0%	0%	High	82																			
아우디 순정 방향제	KRW	50	0%	0%	Medium	52																			
아우라 방향제	KRW	50	0%	0%	Medium	38																			
아이 오닉 5 차량 용품	KRW	50	0%	0%	High	88																			
아이디어 차량 용품	KRW	50	0%	0%	Medium	44																			
아이스팩 방향제	KRW	50	0%	0%	Low	2																			
아이언 맨 방향제	KRW	50	0%	0%	Low	17																			
아쿠아 디 파르마 방향제	KRW	500	0%	0%	High	80	115	708																	
안전한 방향제	KRW	50	0%	0%	High	89	734	1410																	
액체 방향제	KRW	50	0%	0%	Medium	33																			
양키 캔들 가습기 살균제	KRW	50	-100%	0%	Unknown																				
양키 캔들 미드 썸머 나이트 차량용	KRW	50	0%	0%	High	98																			
양키 캔들 방향제	KRW	50	0%	0%	High	77																			
양키 캔들 벤트 스틱	KRW	50	0%	0%	Medium	52																			
양키 캔들 살균제	KRW	50	0%	0%	Unknown																				
양키 캔들 스피어스	KRW	50	0%	0%	High	79																			
양키 캔들 자동차 방향제	KRW	50	0%	0%	High	100																			
양키 캔들 차량	KRW	50	0%	0%	High	67																			
양키 캔들 차량 방향제	KRW	50	0%	0%	High	75																			
양키 캔들 차량용 디퓨저	KRW	50	0%	0%	High	100																			
양키 캔들 차밍 센츠	KRW	50	∞	0%	Low	29																			
양키 캔들 카 벤트 스틱	KRW	50	∞	∞	Low	0																			
양키 캔들 카자	KRW	50	0%	0%	High	83																			
양키 캔들 카자 얼티 메이트	KRW	50	0%	0%	High	86																			
업무 대시 보드	KRW	50	0%	0%	Low	13	995	4132																	
업소용 방향제	KRW	50	0%	0%	High	67																			
에어 디 방향제	KRW	50	0%	0%	High	80																			
에어 디 차량용 방향제	KRW	50	0%	0%	High	90																			
에어 윅 방향제	KRW	50	0%	0%	High	100																			
에어컨 방향제	KRW	50	0%	0%	Medium	41																			
에어컨 필터 방향제	KRW	50	0%	0%	High	98	109	856																	
여름 차량 용품	KRW	50	∞	0%	High	100																			
영진 자동차 용품	KRW	50	0%	0%	Low	15																			
예쁜 방향제	KRW	50	0%	0%	High	75																			
오 센트 방향제	KRW	50	0%	0%	Medium	47	93	1171																	
오 센트 차량 방향제	KRW	50	0%	0%	High	100																			
오래 가는 방향제	KRW	50	0%	0%	High	100	561	1494																	
오래 가는 차량용 방향제	KRW	50	0%	0%	High	100	422	1126																	
옷 방향제	KRW	50	0%	0%	High	84	385	1948																	
왁스 방향제	KRW	50	0%	0%	High	69																			
욕실 방향제	KRW	50	0%	0%	High	100	570	1831																	
용자 몰 디퓨저	KRW	50	0%	-100%	Unknown																				
원두 방향제	KRW	50	0%	0%	High	85																			
원두 커피 방향제	KRW	50	0%	0%	High	93																			
원룸 방향제	KRW	50	0%	0%	High	77	668	1792																	
유용한 차량 용품	KRW	50	0%	0%	Medium	36																			
유칼 릭스 방향제	KRW	50	900%	900%	Low	17																			
유한 킴벌리 방향제	KRW	50	0%	0%	High	100																			
의료 대시 보드	KRW	50	0%	0%	Low	0																			
이마트 방향제	KRW	50	0%	0%	Medium	61																			
이마트 차량 용품	KRW	50	0%	0%	Low	27																			
이솝 차량용 방향제	KRW	50	0%	0%	High	92	596	1908																	
이케아 방향제	KRW	50	0%	0%	Medium	56																			
이케아 포푸리	KRW	50	0%	0%	High	68																			
인 비저블 방향제	KRW	50	0%	-100%	Unknown																				
인사 대시 보드	KRW	50	0%	0%	Low	23	1819	5179																	
인테리어 디퓨저	KRW	50	0%	0%	Medium	65	459	1323																	
인형 방향제	KRW	50	0%	0%	High	91																			
자동 분사 방향제	KRW	50	900%	900%	High	100	233	2226																	
자동차 diy 용품	KRW	50	0%	0%	High	100																			
자동차 겨울 용품	KRW	50	0%	0%	High	67																			
자동차 관리	KRW	500	0%	0%	Low	6	621	2246																	
자동차 관리 용품	KRW	50	0%	0%	Medium	46																			
자동차 내부 꾸미기	KRW	50	0%	0%	Medium	49	516	1359																	
자동차 내부 인테리어	KRW	50	0%	0%	Low	18																			
자동차 번호 알림판	KRW	50	∞	0%	High	81																			
자동차 수납 용품	KRW	50	0%	0%	High	100																			
자동차 실내 꾸미기	KRW	50	0%	0%	Medium	53																			
자동차 실내 인테리어	KRW	50	0%	0%	High	84	86	819																	
자동차 실내 인테리어 비용	KRW	50	0%	0%	Low	5																			
자동차 악세사리 용품점	KRW	50	0%	-90%	High	97	144	790																	
자동차 안전 용품	KRW	50	0%	0%	Medium	58																			
자동차 알림판	KRW	50	-100%	-100%	Unknown																				
자동차 연락처 알림판	KRW	50	0%	0%	High	97	119	330																	
자동차 용 방향제	KRW	50	0%	∞	Medium	33	287	690																	
자동차 용품 마트	KRW	50	0%	∞	Low	0																			
자동차 용품 몰	KRW	50	0%	0%	High	100																			
자동차 용품 사이트	KRW	50	0%	0%	High	67	422	1866																	
자동차 용품 전문	KRW	50	0%	0%	Low	29																			
자동차 용품 종류	KRW	50	0%	0%	Low	12																			
자동차 용품 중고	KRW	50	0%	-100%	Unknown																				
자동차 용품 필수	KRW	50	0%	0%	High	75																			
자동차 인테리어	KRW	500	-90%	-90%	Medium	46																			
자동차 인테리어 용품	KRW	50	0%	0%	Medium	40																			
자동차 주차 번호판	KRW	50	0%	0%	High	82																			
자동차 중고 용품	KRW	50	0%	0%	Low	1																			
자동차 천연 방향제	KRW	50	0%	0%	High	100																			
자동차 편의 용품	KRW	50	0%	0%	Medium	60	142	691																	
자동차 필수 용품	KRW	50	0%	0%	High	79	734	2048																	
자연 방향제	KRW	50	0%	0%	High	100																			
자취방 방향제	KRW	50	0%	0%	High	100	619	1780																	
전기 방향제	KRW	50	0%	0%	High	100	418	907																	
제네시스 g80 방향제	KRW	50	0%	0%	High	100																			
제네시스 g80 용품	KRW	50	0%	0%	High	100																			
제네시스 방향제	KRW	50	0%	0%	High	84	508	1323																	
젤 방향제	KRW	50	0%	0%	High	71																			
젤리 방향제	KRW	50	0%	0%	Medium	51																			
젬마 석고	KRW	50	0%	0%	Medium	48																			
조 말론 자동차 방향제	KRW	50	0%	0%	High	91																			
조 말론 차 방향제	KRW	50	0%	0%	High	100	304	1030																	
조 말론 차량 디퓨저	KRW	50	0%	0%	High	100	571	1041																	
주차 번호 알림판	KRW	50	0%	0%	High	100																			
주차 알림판	KRW	500	0%	900%	Low	33	126	506																	
주차 전화 번호판	KRW	50	0%	0%	Medium	58	119	388																	
중고 자동차 용품	KRW	50	0%	0%	Medium	57																			
지도 대시 보드	KRW	50	0%	0%	Low	0																			
지방 이 석고 방향제	KRW	50	0%	0%	Low	0																			
진로 디퓨저	KRW	50	0%	0%	Medium	47																			
진로 방향제	KRW	50	0%	0%	Medium	43																			
진로 소주 방향제	KRW	50	0%	0%	Unknown																				
집안 방향제	KRW	50	0%	0%	High	100	672	2586																	
짱구 방향제	KRW	50	0%	0%	High	100	689	2706																	
차 꾸미기	KRW	500	0%	900%	Medium	47	156	730																	
차 내부 꾸미기	KRW	50	0%	0%	Medium	38	173	985																	
차 디퓨저	KRW	50	0%	0%	High	100	676	1747																	
차 실내 꾸미기	KRW	50	0%	0%	Medium	40																			
차 액세서리	KRW	50	900%	900%	Medium	47	215	861																	
차량 관리 마이클	KRW	50	0%	0%	Low	14																			
차량 관리 용품	KRW	50	0%	0%	High	100	93	766																	
차량 내부 인테리어	KRW	50	0%	0%	Low	16																			
차량 도색 용품	KRW	50	0%	0%	High	100																			
