Keyword Stats 2026-03-15 at 20_55_26
"March 1, 2025 - February 28, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
로베르타 디 까메리노 방향제	KRW	50	0%	0%	High	100	157	729																	
룸 미러 방향제	KRW	50	0%	0%	Low	26																			
리틀 조 방향제	KRW	50	0%	0%	Low	24																			
리필 방향제	KRW	50	0%	0%	High	94																			
메이 튼 방향제	KRW	50	0%	0%	High	88																			
명품 방향제	KRW	50	0%	0%	High	97	564	1314																	
명품 차량 방향제	KRW	50	0%	0%	High	95	562	1060																	
미스터 앤 미세스 니키	KRW	50	0%	0%	High	100																			
미스터 앤 미세스 방향제	KRW	50	900%	900%	High	100	152	645																	
바흐 가 르트 방향제	KRW	50	0%	0%	High	73	238	816																	
방향제 리필	KRW	50	0%	0%	High	91	266	2297																	
방향제 차량	KRW	50	0%	0%	High	100																			
베어브릭 방향제	KRW	50	900%	900%	Low	33																			
벤 볼릭 방향제	KRW	50	900%	900%	High	96	407	1087																	
벤츠 방향제	KRW	50	0%	0%	High	100	459	852																	
벤츠 차량용 방향제	KRW	50	0%	0%	High	100	546	1353																	
불독 차량 방향제	KRW	50	0%	0%	High	100																			
불독 차량용 방향제	KRW	50	0%	0%	High	88																			
불스 원 선 바이저 방향제	KRW	50	0%	0%	High	100	619	1342																	
불스 원 차량용 방향제	KRW	50	0%	0%	High	100	188	770																	
산도깨비 차량용 방향제	KRW	50	0%	0%	High	88																			
새차 방향제	KRW	50	0%	0%	High	83																			
생귄 방향제	KRW	50	0%	0%	High	82	120	1068																	
샤넬 차량용 방향제	KRW	50	0%	0%	High	83	533	999																	
샤오 미 방향제 리필	KRW	50	0%	0%	Unknown																				
선 바이저 방향제	KRW	50	0%	0%	High	95	135	1022																	
송풍구 방향제	KRW	50	0%	0%	High	88	410	847																	
쓰리 나인 방향제	KRW	50	0%	0%	High	100	59	1632																	
아우디 방향제	KRW	50	0%	0%	High	82																			
아이언 맨 방향제	KRW	50	0%	0%	Low	17																			
아쿠아 디 파르마 방향제	KRW	500	0%	0%	High	80	115	708																	
양키 캔들 미드 썸머 나이트 차량용	KRW	50	0%	0%	High	98																			
양키 캔들 방향제	KRW	50	0%	0%	High	77																			
양키 캔들 벤트 스틱	KRW	50	0%	0%	Medium	52																			
양키 캔들 스피어스	KRW	50	0%	0%	High	79																			
양키 캔들 자동차 방향제	KRW	50	0%	0%	High	100																			
양키 캔들 차량	KRW	50	0%	0%	High	67																			
양키 캔들 차량 방향제	KRW	50	0%	0%	High	75																			
양키 캔들 차량용 방향제 발암 물질	KRW	50	-100%	-100%	Unknown																				
양키 캔들 차밍 센츠	KRW	50	∞	0%	Low	29																			
양키 캔들 카 벤트 스틱	KRW	50	∞	∞	Low	0																			
양키 캔들 카자	KRW	50	0%	0%	High	83																			
양키 캔들 카자 얼티 메이트	KRW	50	0%	0%	High	86																			
에어 디 방향제	KRW	50	0%	0%	High	80																			
에어 디 차량용 방향제	KRW	50	0%	0%	High	90																			
오 센트 방향제	KRW	50	0%	0%	Medium	47	93	1171																	
오 센트 차량 방향제	KRW	50	0%	0%	High	100																			
오래 가는 차량용 방향제	KRW	50	0%	0%	High	100	422	1126																	
올리브 영 차량용 방향제	KRW	50	-90%	0%	High	88	165	884																	
이솝 차량용 방향제	KRW	50	0%	0%	High	92	596	1908																	
자동차 용 방향제	KRW	50	0%	∞	Medium	33	287	690																	
제네시스 방향제	KRW	50	0%	0%	High	84	508	1323																	
조 말론 자동차 방향제	KRW	50	0%	0%	High	91																			
조 말론 차 방향제	KRW	50	0%	0%	High	100	304	1030																	
짱구 방향제	KRW	50	0%	0%	High	100	689	2706																	
차량 방향제 딥 디크	KRW	50	0%	0%	Low	32																			
차량 석고 방향제	KRW	50	0%	0%	Medium	41	624	1175																	
차량용 고급 방향제	KRW	50	0%	0%	High	100																			
차량용 방향제 더쿠	KRW	50	0%	0%	High	94																			
차량용 방향제 불독	KRW	50	0%	0%	High	100																			
차량용 석고 방향제	KRW	50	900%	900%	High	68	79	1120																	
차량용 종이 방향제	KRW	50	0%	0%	High	85	476	1556																	
차량용 천연 방향제	KRW	50	0%	0%	High	100	591	1272																	
차량용 피톤치드 방향제	KRW	50	0%	∞	High	100																			
체사레 방향제	KRW	50	-100%	-100%	Unknown																				
춘식 이 방향제	KRW	50	0%	0%	High	82																			
카카오 방향제 리필	KRW	50	0%	0%	High	100																			
카카오 차량 방향제	KRW	50	0%	0%	High	74																			
카카오 차량용 방향제	KRW	50	0%	0%	High	100																			
카카오 프렌즈 방향제	KRW	50	0%	0%	High	92																			
카카오 프렌즈 방향제 리필	KRW	50	0%	0%	High	100																			
카카오 프렌즈 차량용 방향제	KRW	50	0%	0%	High	96																			
캐릭터 방향제	KRW	50	0%	0%	High	83																			
캐릭터 차량용 방향제	KRW	50	0%	0%	Medium	62	62	834																	
쿤달 차량용 방향제	KRW	50	0%	0%	High	100	109	964																	
태양열 방향제	KRW	50	0%	0%	High	90																			
턴테이블 방향제	KRW	50	0%	0%	High	75																			
테슬라 방향제	KRW	50	0%	0%	High	100	302	1284																	
페브리즈 방향제	KRW	50	0%	0%	High	98	275	1011																	
페브리즈 차량용 방향제	KRW	50	0%	0%	High	99	136	817																	
페브리즈 차량용 방향제 리필	KRW	50	0%	0%	Low	0																			
펭수 방향제	KRW	50	0%	0%	Low	7																			
펭수 차량용 방향제	KRW	50	0%	0%	High	100																			
포포 베 방향제	KRW	50	0%	0%	Low	0																			
포포 베 차량용 방향제	KRW	50	0%	0%	High	83																			
퓨마 방향제	KRW	50	0%	0%	Medium	62																			
프렌치 불독 방향제	KRW	50	∞	0%	Low	0																			
프로펠러 방향제	KRW	50	0%	0%	High	76	85	1192																	
하이 센트 방향제	KRW	50	0%	0%	High	91																			
향수 로 차량 방향제	KRW	50	0%	0%	Unknown																				
헬리콥터 방향제	KRW	50	0%	0%	High	95																			
남편 차 선물	KRW	50	0%	0%	Low	0																			
남편 생일 선물 실용적	KRW		 --	 --	Unknown																				
아들 차 선물	KRW		 --	 --	Unknown																				
차 안 냄새 없애기	KRW		 --	 --	Unknown																				
실용적인 차량 선물	KRW		 --	 --	Unknown																				
가족 차량 용품	KRW		 --	 --	Unknown																				
태양열 차량 용품	KRW		 --	 --	Unknown																				
주차 번호판 이쁜 거	KRW		 --	 --	Unknown																				
